"","National Savings & Investments - Prize winners October 2021","","","","","",""
"","","","","","","",""
"","Prize Value","Winning Bond NO.","","Total V of Holding","Area","Val of Bond","Dt of Pur"
"","5000.0","456CZ636851","","44200.0","Wales","10000.0","44341.0"
"","5000.0","325WE012576","","8238.0","Wandsworth","7338.0","43159.0"
"","5000.0","463MD750854","","50000.0","Sefton","50000.0","44396.0"
"","5000.0","143BD682845","","30000.0","East Sussex","5000.0","39707.0"
"","5000.0","352DT338919","","50000.0","Overseas","40000.0","43509.0"
"","5000.0","94EV797891","","50000.0","Cardiff","5000.0","37865.0"
"","5000.0","314MC939119","","50000.0","Wiltshire","12000.0","43035.0"
"","5000.0","278GG292943","","50000.0","Outer London","25000.0","42586.0"
"","5000.0","373NZ813996","","41000.0","Lancashire","500.0","43766.0"
"","5000.0","466HQ405935","","49000.0","Brighton and Hove","14000.0","44416.0"
"","5000.0","332RF669641","","50000.0","Hereford and Worcester","11700.0","43266.0"
"","5000.0","80FR692134","","30000.0","Somerset","5000.0","37895.0"
"","5000.0","315XG234667","","50000.0","Devon","50000.0","43031.0"
"","5000.0","166HA251159","","25100.0","Plymouth","200.0","40263.0"
"","5000.0","163RB077738","","500.0","Kirklees","100.0","40190.0"
"","5000.0","234FG668739","","50000.0","Barnet","4000.0","41942.0"
"","5000.0","147SR601991","","30000.0","Bristol","5000.0","39773.0"
"","5000.0","238KD622931","","50000.0","Surrey","34400.0","42020.0"
"","5000.0","351LV322428","","9700.0","Leeds","2500.0","43499.0"
"","5000.0","343MY235328","","18050.0","Berkshire","50.0","43402.0"
"","5000.0","105VT847764","","32875.0","Outer London","5000.0","38748.0"
"","5000.0","386EM271620","","50000.0","Essex","40289.0","43907.0"
"","5000.0","435BX202197","","40500.0","Oxfordshire","40000.0","44223.0"
"","5000.0","421DA124724","","50000.0","Inner London","10500.0","44142.0"
"","5000.0","268YY030975","","50000.0","Shropshire","39877.0","42445.0"
"","5000.0","274VA670044","","50000.0","Kent","12500.0","42534.0"
"","5000.0","20PR607357","","31650.0","Birmingham","5000.0","38181.0"
"","5000.0","297KS673887","","31000.0","Stockport","20000.0","42803.0"
"","5000.0","437LF470536","","41000.0","Birmingham","3000.0","44232.0"
"","5000.0","380ZL873965","","50000.0","Staffordshire","50000.0","43853.0"
"","5000.0","235SY611148","","49000.0","Lancashire","26000.0","41968.0"
